time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
228,52,215,50.0,-49.66,0.01,11400,,,,1399,0.0009962003333333334,0.29732245206832886,-4.535580158233643,0.24933522939682007,-2.669647693634033
229,52,216,50.0,-49.66,0.01,11450,,,,1449,0.0009961836666666666,0.35711273550987244,-4.742475986480713,0.23748929798603058,-2.148620128631592
230,52,217,50.0,-49.66,0.01,11500,,,,1499,0.000996167,0.42268067598342896,-4.653216361999512,0.2260739505290985,-2.0262105464935303
231,53,217,50.0,-49.66,0.01,11550,,,,1549,0.0009961503333333333,0.5682594776153564,-4.987304210662842,0.21533432602882385,-1.4603993892669678
232,53,218,50.0,-49.66,0.01,11600,,,,1599,0.0009961336666666667,0.6131078600883484,-4.96306848526001,0.20525605976581573,-1.0492852926254272
233,53,219,50.0,-49.66,0.01,11650,,,,1649,0.0009961170000000001,0.407214879989624,-5.309816837310791,0.1956481784582138,-0.7838324308395386
234,53,220,50.0,-49.66,0.01,11700,,,,1699,0.0009961003333333334,0.38318416476249695,-5.314606666564941,0.18650966882705688,-0.28698277473449707
235,53,220,50.0,-49.66,0.01,11750,,,,1749,0.0009960836666666668,0.4527914226055145,-5.316373825073242,0.17783211171627045,0.050238847732543945
236,53,221,50.0,-49.66,0.01,11800,,,,1799,0.000996067,0.26636800169944763,-5.640105724334717,0.16963857412338257,-0.19974052906036377
237,53,222,50.0,-49.66,0.01,11850,,,,1849,0.0009960503333333334,0.21088501811027527,-5.456051826477051,0.16170990467071533,0.3272296190261841
238,53,223,50.0,-49.66,0.01,11900,,,,1899,0.0009960336666666667,0.37504854798316956,-5.775514125823975,0.15428587794303894,0.6561379432678223
239,53,224,50.0,-49.66,0.01,11950,,,,1949,0.000996017,0.4721975028514862,-5.847772598266602,0.14719344675540924,0.8547734022140503
240,53,224,50.0,-49.66,0.01,12000,,,,1999,0.0009960003333333333,0.30065661668777466,-6.010634422302246,0.14035730063915253,0.8148527145385742
241,53,225,50.0,-49.66,0.01,12050,,,,2049,0.0009959836666666667,0.3574947416782379,-5.924208641052246,0.13387662172317505,1.2308679819107056
242,53,226,50.0,-49.66,0.01,12100,,,,2099,0.0009959670000000002,0.4088766574859619,-6.508874893188477,0.12777841091156006,1.2440080642700195
243,53,227,50.0,-49.66,0.01,12150,,,,2149,0.0009959503333333334,0.43560880422592163,-6.434447288513184,0.12182318419218063,1.380614995956421
244,53,227,50.0,-49.66,0.01,12200,,,,2199,0.0009959336666666668,0.2315753847360611,-6.560108184814453,0.11613111943006516,1.5787744522094727
245,53,228,50.0,-49.66,0.01,12250,,,,2249,0.000995917,0.27126169204711914,-6.568944931030273,0.1107393205165863,1.8390944004058838
246,53,229,50.0,-49.66,0.01,12300,,,,2299,0.0009959003333333335,0.33450931310653687,-6.882575035095215,0.1055598258972168,2.304047107696533
247,53,230,50.0,-49.66,0.01,12350,,,,2349,0.0009958836666666667,0.7371983528137207,-7.117349624633789,0.10066893696784973,2.3040390014648438
248,53,231,50.0,-49.66,0.01,12400,,,,2399,0.0009958669999999999,0.2485874891281128,-7.050017356872559,0.09604275971651077,2.2561306953430176
249,53,231,50.0,-49.66,0.01,12450,,,,2449,0.0009958503333333333,0.13810785114765167,-7.580800533294678,0.0915861427783966,2.187084197998047
250,53,232,50.0,-49.98,0.01,12500,,,,2499,0.0009958336666666665,0.6425062417984009,-7.4100565910339355,0.08735546469688416,2.8376026153564453
251,53,233,50.0,-49.98,0.01,12550,,,,2549,0.000995817,0.15456408262252808,-7.2962799072265625,0.08337119221687317,2.727799892425537
252,53,234,50.0,-49.98,0.01,12600,,,,2599,0.0009958003333333334,0.2299305647611618,-7.56645393371582,0.0795523151755333,3.0202958583831787
253,53,234,50.0,-49.98,0.01,12650,,,,2649,0.0009957836666666666,0.12768492102622986,-7.412954330444336,0.07589017599821091,2.9009859561920166
254,53,235,50.0,-49.98,0.01,12700,,,,2699,0.000995767,0.24199803173542023,-7.264147758483887,0.0724552646279335,3.3267831802368164
255,53,236,50.0,-49.98,0.01,12750,,,,2749,0.0009957503333333333,0.27451199293136597,-7.8618083000183105,0.06910615414381027,3.147566795349121
256,53,237,50.0,-49.48,0.02,12800,,,,2799,0.0009957336666666667,0.17086529731750488,-7.436891555786133,0.06591343134641647,3.6149368286132812
