rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
50.0,52,229,11450,-49.74,0.01,217,,,,0.000988551,0.24059981107711792,0.5508514046669006,1449,-2.064365863800049,-4.590921878814697
50.0,52,230,11500,-49.74,0.01,218,,,,0.000988501,0.22933262586593628,0.4013860821723938,1499,-1.7650409936904907,-4.627267837524414
50.0,52,231,11550,-50.0,0.0,218,,,,0.000988451,0.21861813962459564,0.19846171140670776,1549,-1.4058955907821655,-4.788086414337158
50.0,52,232,11600,-50.0,0.0,219,,,,0.000988401,0.20839402079582214,0.449496328830719,1599,-1.1294009685516357,-5.043807029724121
50.0,52,233,11650,-50.0,0.0,220,,,,0.000988351,0.1987907886505127,0.32385340332984924,1649,-1.120323657989502,-5.187254428863525
50.0,52,234,11700,-50.0,0.0,221,,,,0.000988301,0.18956167995929718,0.5465583801269531,1699,-0.3153393268585205,-5.245128631591797
50.0,52,235,11750,-50.0,0.0,222,,,,0.000988251,0.18066859245300293,0.40038883686065674,1749,-0.8565260171890259,-5.2831830978393555
50.0,52,236,11800,-50.0,0.0,222,,,,0.000988201,0.17232124507427216,0.28358548879623413,1799,0.3955186605453491,-5.5244245529174805
50.0,52,237,11850,-50.0,0.0,223,,,,0.000988151,0.16433650255203247,0.38163575530052185,1849,0.21670150756835938,-5.554869651794434
50.0,53,238,11900,-50.0,0.0,224,,,,0.0009881010000000001,0.15671037137508392,0.4787712097167969,1899,0.5718885660171509,-5.784661293029785
50.0,53,239,11950,-50.0,0.0,225,,,,0.000988051,0.14948616921901703,0.24033060669898987,1949,0.6304037570953369,-5.769330024719238
50.0,53,240,12000,-50.0,0.0,226,,,,0.000988001,0.14258411526679993,0.16311617195606232,1999,0.7313326597213745,-5.791665554046631
50.0,53,241,12050,-50.0,0.0,226,,,,0.0009879510000000002,0.13593126833438873,0.24062007665634155,2049,0.9408972263336182,-6.1344709396362305
50.0,53,242,12100,-50.0,0.0,227,,,,0.000987901,0.12972073256969452,0.21295759081840515,2099,1.1170367002487183,-6.323863983154297
50.0,53,243,12150,-50.0,0.0,228,,,,0.000987851,0.12367387861013412,0.30548930168151855,2149,1.551498293876648,-6.474273681640625
50.0,53,244,12200,-50.0,0.0,229,,,,0.000987801,0.11795752495527267,0.39779794216156006,2199,1.8420031070709229,-6.429893493652344
50.0,53,245,12250,-50.0,0.0,230,,,,0.000987751,0.11255237460136414,0.25996479392051697,2249,1.9723548889160156,-6.690404415130615
50.0,53,246,12300,-50.0,0.0,230,,,,0.0009877010000000001,0.10741826891899109,0.21516726911067963,2299,2.4303970336914062,-6.51591682434082
50.0,53,247,12350,-50.0,0.0,231,,,,0.000987651,0.10251995921134949,0.4378511309623718,2349,2.7001447677612305,-6.975763320922852
50.0,53,248,12400,-50.0,0.0,232,,,,0.000987601,0.09784005582332611,0.18879492580890656,2399,2.495192527770996,-6.630373954772949
50.0,53,249,12450,-50.0,0.0,233,,,,0.000987551,0.09337085485458374,0.259966105222702,2449,2.686124324798584,-6.9163818359375
